Luke Kennard,37,36,35.5,6.4,13.1,.489,4.0,7.7,.525,2.4,5.4,.438,4.3,5.1,.856,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5,1
Jayson Tatum,29,27,33.3,5.7,12.6,.452,4.3,8.6,.504,1.4,4.0,.342,4.1,4.8,.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,1
Grayson Allen,34,25,29.6,4.1,10.5,.395,1.8,4.0,.444,2.4,6.5,.365,3.8,4.7,.811,0.7,3.1,3.7,3.5,0.8,0.1,2.2,2.3,14.5,1
Frank Jackson,36,16,24.9,3.7,7.8,.473,2.3,4.2,.539,1.4,3.6,.395,2.1,2.8,.755,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,1
Amile Jefferson,35,35,29.7,4.2,6.8,.613,4.2,6.8,.613,0.0,0.0,,2.6,4.1,.629,2.4,6.0,8.4,1.5,0.7,1.9,1.4,2.7,10.9,1
Matt Jones,37,33,32.9,2.6,6.4,.399,1.2,2.5,.489,1.4,3.9,.342,0.5,0.7,.731,1.0,1.8,2.8,1.9,1.7,0.2,1.1,2.3,7.0,0
Harry Giles,26,6,11.5,1.7,3.0,.577,1.7,3.0,.577,0.0,0.0,,0.5,0.9,.500,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,1
Chase Jeter,16,6,14.9,0.8,1.6,.500,0.8,1.6,.500,0.0,0.0,,0.9,1.7,.556,1.1,1.6,2.7,0.4,0.4,1.1,1.1,1.9,2.6,0
Antonio Vrankovic,13,0,7.8,1.0,1.5,.684,1.0,1.5,.684,0.0,0.0,,0.5,0.8,.636,1.2,1.4,2.6,0.4,0.0,0.3,0.5,1.2,2.5,0
Jack White,10,0,6.1,0.6,0.9,.667,0.5,0.7,.714,0.1,0.2,.500,0.8,1.0,.800,0.2,1.1,1.3,0.1,0.1,0.2,0.4,0.5,2.1,0
Javin DeLaurier,12,0,7.2,0.8,0.9,.818,0.8,0.8,.900,0.0,0.1,.000,0.1,0.3,.250,0.7,1.3,1.9,0.1,0.3,0.3,0.7,1.8,1.6,0
Marques Bolden,24,1,6.5,0.7,1.5,.457,0.7,1.5,.457,0.0,0.0,,0.2,0.3,.625,0.6,0.5,1.1,0.1,0.1,0.3,0.5,1.3,1.5,0
Justin Robinson,6,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.2,0.3,.500,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0
Brennan Besser,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Nick Pagliuca,5,0,1.6,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0
Grayson Allen,36,35,36.6,6.6,14.3,.466,4.1,8.3,.502,2.5,6.0,.417,5.9,7.0,.837,0.7,3.9,4.6,3.5,1.3,0.1,2.0,2.7,21.6,1
Brandon Ingram,36,34,34.6,5.9,13.4,.442,3.7,8.0,.464,2.2,5.4,.410,3.2,4.7,.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,1
Luke Kennard,36,11,26.7,3.9,9.3,.421,2.4,4.5,.528,1.5,4.8,.320,2.4,2.8,.889,1.0,2.6,3.6,1.5,0.9,0.2,0.8,1.9,11.8,1
Amile Jefferson,9,9,30.3,4.6,6.7,.683,4.6,6.7,.683,0.0,0.0,,2.3,4.2,.553,4.8,5.6,10.3,1.4,1.0,1.1,1.7,2.6,11.4,0
Matt Jones,35,35,31.8,3.5,8.7,.408,1.4,3.5,.397,2.2,5.2,.415,1.1,1.5,.736,1.0,1.5,2.5,2.3,1.0,0.2,1.1,2.6,10.4,1
Marshall Plumlee,36,36,30.5,2.9,4.3,.688,2.9,4.3,.688,0.0,0.0,,2.4,4.3,.575,3.3,5.3,8.6,1.1,0.8,1.6,1.1,2.8,8.3,0
Derryck Thornton,36,20,26.0,2.6,6.7,.390,1.9,4.4,.424,0.8,2.3,.325,1.1,1.6,.690,0.3,1.6,1.8,2.5,0.8,0.2,1.6,2.1,7.1,1
Chase Jeter,32,0,7.9,0.7,1.2,.553,0.7,1.2,.553,0.0,0.0,,0.6,1.2,.541,0.8,1.1,1.9,0.1,0.1,0.3,0.6,1.8,1.9,0
Antonio Vrankovic,5,0,2.8,0.4,0.4,1.000,0.4,0.4,1.000,0.0,0.0,,0.0,0.0,,0.4,1.0,1.4,0.0,0.2,0.2,0.6,0.6,0.8,0
Sean Obi,10,0,2.7,0.1,0.2,.500,0.1,0.2,.500,0.0,0.0,,0.3,0.6,.500,0.6,0.4,1.0,0.0,0.0,0.1,0.2,0.8,0.5,0
Brennan Besser,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nick Pagliuca,10,0,1.0,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,0.0,0.0,,0.1,0.3,0.4,0.0,0.1,0.0,0.1,0.1,0.0,0
Grayson Allen,36,35,36.6,6.6,14.3,.466,4.1,8.3,.502,2.5,6.0,.417,5.9,7.0,.837,0.7,3.9,4.6,3.5,1.3,0.1,2.0,2.7,21.6,1
Brandon Ingram,36,34,34.6,5.9,13.4,.442,3.7,8.0,.464,2.2,5.4,.410,3.2,4.7,.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,1
Luke Kennard,36,11,26.7,3.9,9.3,.421,2.4,4.5,.528,1.5,4.8,.320,2.4,2.8,.889,1.0,2.6,3.6,1.5,0.9,0.2,0.8,1.9,11.8,1
Amile Jefferson,9,9,30.3,4.6,6.7,.683,4.6,6.7,.683,0.0,0.0,,2.3,4.2,.553,4.8,5.6,10.3,1.4,1.0,1.1,1.7,2.6,11.4,0
Matt Jones,35,35,31.8,3.5,8.7,.408,1.4,3.5,.397,2.2,5.2,.415,1.1,1.5,.736,1.0,1.5,2.5,2.3,1.0,0.2,1.1,2.6,10.4,1
Marshall Plumlee,36,36,30.5,2.9,4.3,.688,2.9,4.3,.688,0.0,0.0,,2.4,4.3,.575,3.3,5.3,8.6,1.1,0.8,1.6,1.1,2.8,8.3,0
Derryck Thornton,36,20,26.0,2.6,6.7,.390,1.9,4.4,.424,0.8,2.3,.325,1.1,1.6,.690,0.3,1.6,1.8,2.5,0.8,0.2,1.6,2.1,7.1,1
Chase Jeter,32,0,7.9,0.7,1.2,.553,0.7,1.2,.553,0.0,0.0,,0.6,1.2,.541,0.8,1.1,1.9,0.1,0.1,0.3,0.6,1.8,1.9,0
Antonio Vrankovic,5,0,2.8,0.4,0.4,1.000,0.4,0.4,1.000,0.0,0.0,,0.0,0.0,,0.4,1.0,1.4,0.0,0.2,0.2,0.6,0.6,0.8,0
Sean Obi,10,0,2.7,0.1,0.2,.500,0.1,0.2,.500,0.0,0.0,,0.3,0.6,.500,0.6,0.4,1.0,0.0,0.0,0.1,0.2,0.8,0.5,0
Brennan Besser,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nick Pagliuca,10,0,1.0,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,0.0,0.0,,0.1,0.3,0.4,0.0,0.1,0.0,0.1,0.1,0.0,0
Luke Kennard,37,36,35.5,6.4,13.1,.489,4.0,7.7,.525,2.4,5.4,.438,4.3,5.1,.856,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5,1
Jayson Tatum,29,27,33.3,5.7,12.6,.452,4.3,8.6,.504,1.4,4.0,.342,4.1,4.8,.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,1
Grayson Allen,34,25,29.6,4.1,10.5,.395,1.8,4.0,.444,2.4,6.5,.365,3.8,4.7,.811,0.7,3.1,3.7,3.5,0.8,0.1,2.2,2.3,14.5,1
Frank Jackson,36,16,24.9,3.7,7.8,.473,2.3,4.2,.539,1.4,3.6,.395,2.1,2.8,.755,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,1
Amile Jefferson,35,35,29.7,4.2,6.8,.613,4.2,6.8,.613,0.0,0.0,,2.6,4.1,.629,2.4,6.0,8.4,1.5,0.7,1.9,1.4,2.7,10.9,1
Matt Jones,37,33,32.9,2.6,6.4,.399,1.2,2.5,.489,1.4,3.9,.342,0.5,0.7,.731,1.0,1.8,2.8,1.9,1.7,0.2,1.1,2.3,7.0,0
Harry Giles,26,6,11.5,1.7,3.0,.577,1.7,3.0,.577,0.0,0.0,,0.5,0.9,.500,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,1
Chase Jeter,16,6,14.9,0.8,1.6,.500,0.8,1.6,.500,0.0,0.0,,0.9,1.7,.556,1.1,1.6,2.7,0.4,0.4,1.1,1.1,1.9,2.6,0
Antonio Vrankovic,13,0,7.8,1.0,1.5,.684,1.0,1.5,.684,0.0,0.0,,0.5,0.8,.636,1.2,1.4,2.6,0.4,0.0,0.3,0.5,1.2,2.5,0
Jack White,10,0,6.1,0.6,0.9,.667,0.5,0.7,.714,0.1,0.2,.500,0.8,1.0,.800,0.2,1.1,1.3,0.1,0.1,0.2,0.4,0.5,2.1,0
Javin DeLaurier,12,0,7.2,0.8,0.9,.818,0.8,0.8,.900,0.0,0.1,.000,0.1,0.3,.250,0.7,1.3,1.9,0.1,0.3,0.3,0.7,1.8,1.6,0
Marques Bolden,24,1,6.5,0.7,1.5,.457,0.7,1.5,.457,0.0,0.0,,0.2,0.3,.625,0.6,0.5,1.1,0.1,0.1,0.3,0.5,1.3,1.5,0
